,GOW,DTW,OPW,TAOT,TCOT,OTW,WSK,AWSWD,MMOT-subsq,WTK,MMOT-non-linear,WTK-re,MLOT
BME,0.8933,0.8933,0.8533,0.7,0.5867,0.52,0.3267,0.9467,0.95,0.72,0.906666667,0.72,0.953333333
BeetleFly,0.65,0.7,1,1,1,1,0.45,1,1,0.95,0.85,0.8,1
BirdChicken,0.85,0.75,0.6,0.55,0.85,0.6,0.25,0.85,0.95,0.9,0.75,0.95,0.8
Chinatown,0.9679,0.9738,0.9417,0.895,0.3236,0.7784,0.1224,0.7259,0.95,0.950437318,0.935860058,0.950437318,0.967930029
Coffee,0.9286,1,1,0.5714,0.8571,0.9643,0.25,1,1,1,1,1,0.928571429
DistalPhalanxOutlineCorrect,0.7143,0.7571,0.6857,0.4286,0.6714,0.7143,0.3857,0.7429,0.77,"	0.806666667",0.764492754,0.760869565,
DistalPhalanxTW,0.7111,0.7444,0.7333,0.5,0.7444,0.7333,0.0111,0.7444,0.65,0.795,0.661870504,0.661870504,
ECG200,0.87,0.8,0.9,0.9,0.84,0.91,0.61,0.91,0.94,0.9,0.81,0.91,
FaceFour,0.8,0.7667,0.8,0.5333,0.6333,0.7333,0.3333,0.8,0.91,0.954545455,0.727272727,0.931818182,0.897727273
Fungi,0.9355,0.7957,0.8333,0.8925,0,0.8925,0,0,0.98,0.989247312,0.596774194,0.989247312,
GunPoint,0.9933,0.9067,0.9133,0.86,0.8333,0.9533,0.4933,0.9867,0.97,0.993333333,0.873333333,0.98,0.926666667
Herring,0.7,0.55,0.65,0.75,0.55,0.7,0.65,0.5,0.703125,0.625,0.609375,0.6875,
ItalyPowerDemand,0.9456,0.9504,0.9563,0.9572,0.8358,0.9621,0.4402,0.9552,0.97,0.954324587,0.943634597,0.958211856,0.945578231
MoteStrain,0.8906,0.8347,0.7843,0.8562,0.7971,0.885,0.5495,0.9026,0.87,0.884185304,0.85942492,0.875399361,
OliveOil,0.9,0.8667,0.9,0.1667,0.6,0.8667,0.1,0.9,0.9,0.866666667,0.833333333,0.9,
Plane,1,1,0.9619,0.8476,1,0.9619,0,1,1,1,1,1,
SmoothSubspace,0.9933,0.86,0.9867,0.98,0.94,0.9067,0.0267,0.9067,1,0.98,0.873333333,0.98,1
SonyAIBORobotSurface1,0.8785,0.7255,0.772,0.5591,0.7504,0.6872,0.421,0.7188,0.73,0.793677205,0.763727121,0.793677205,0.790349418
SonyAIBORobotSurface2,0.744,0.8311,0.8583,0.8153,0.766,0.8678,0.1752,0.872,0.87,0.922350472,0.789087093,0.922350472,0.78593914
ToeSegmentation2,0.7778,0.8519,0.8148,0.8519,0.7407,0.8148,0.4444,0.8519,0.93,0.884615385,0.9,0.930769231,
BasicMotions,1,0.975,0.75,1,0.075,1,0,0.25,0.9,0.575,0.9,0.575,0.775
Colposcopy,0.3366,0.4059,0.3663,0.3465,0.1881,0.3465,0.1089,0.2574,0.425742574,0.326732673,0.415841584,0.326732673,
DistalPhalanxOutlineAgeGroup,0.75,0.75,0.73,0.4,0.73,0.71,0.19,0.76,0.741007194,0.85,0.769784173,0.741007194,
ERing,0.9148,0.9333,0.9222,0.9407,0.9074,0.9407,0.0074,0.9407,0.859259259,0.933333333,0.888888889,0.933333333,0.855555556
EyesOpenShut,0.5476,0.4762,0.5476,0.5238,0.5,0.4762,0.619,0.5,0.571428571,0.571428571,0.547619048,0.571428571,0.547619048
FingerMovements,0.56,0.57,0.57,0.54,0.49,0.58,0.57,0.49,0.64,0.64,0.63,0.64,0.61
Epilepsy,0.8261,0.7826,0.7609,0.3478,0.8043,0.7609,0.1739,0.913,0.724637681,0.615942029,0.586956522,0.615942029,0.637681159
JapaneseVowels,0.9676,0.9703,0.9568,0.9622,0.9676,0.9324,0.0054,0.9432,0.891891892,,,,
Libras,0.8333,0.8722,0.8389,0.8278,0.5111,0.3,0.0778,0.8611,0.811111111,0.7,,0.7,
NATOPS,0.7722,0.8833,0.85,0.8611,0.8222,0.7333,0,0.8889,0.855555556,0.844444444,0.822222222,0.844444444,0.794444444
PowerCons,0.8833,0.8333,0.9667,0.9833,0.8667,0.8833,0.2333,0.9333,0.994444444,0.977777778,0.916666667,0.977777778,
RacketSports,0.8355,0.8289,0.7434,0.8224,0.1579,0.7632,0.25,0.2829,0.75,0.822368421,0.723684211,0.822368421,0.736842105
UMD,0.8889,0.8819,0.6111,0.7153,0.8056,0.5903,0.3333,0.9167,0.861111111,0.930555556,0.861111111,0.930555556,
Wine,0.537,0.5741,0.6111,0.5,0.5741,0.6481,0.5556,0.537,0.722222222,0.833333333,0.62962963,0.703703704,0.611111111
SyntheticControl,0.88,0.99,0.91,0.92,0.56,0.83,0,0.83,0.96,0.996666667,0.966666667,0.986666667,
ProximalPhalanxTW,0.79,0.78,0.78,0.4,0.77,0.77,0.02,0.81,0.814634146,0.8125,0.809756098,0.795121951,
TwoLeadECG,0.8841,0.9043,0.7594,0.7006,0.9298,0.7349,0.3951,0.9851,0.949956102,0.992976295,0.898156277,0.975417032,
MSR Sports Action 3D,0.6195,0.7037,0.633,0.3906,0.532,0.266,0.0471,0.5556,0.505050505,0.538720539,0.65993266,0.538720539,
MSR Daily Activity 3D,0.45,0.4562,0.4625,0.2312,0.3187,0.3063,0.0312,0.3562,0.34375,0.3375,0.39375,0.3375,
Weizmann,0.925,0.875,0.975,0.9,0.7,0.85,0.025,0.75,,,,,
SpokenArabicDigit,0.8455,0.9723,0.9273,0.9273,0.4818,0.3818,0,0.6,0.818181818,0.536363636,0.945454545,0.536363636,
